code,name,market,type,latest_price,change_pct,volume,amount,market_cap,pe_ratio,pb_ratio
000909,ST数源,SZ,A 股,0,0,0,0,0,0,0
000910,大亚圣象,SZ,A 股,0,0,0,0,0,0,0
000911,广农糖业,SZ,A 股,0,0,0,0,0,0,0
000912,泸天化,SZ,A 股,0,0,0,0,0,0,0
000913,钱江摩托,SZ,A 股,0,0,0,0,0,0,0
000915,华特达因,SZ,A 股,0,0,0,0,0,0,0
000917,电广传媒,SZ,A 股,0,0,0,0,0,0,0
000919,金陵药业,SZ,A 股,0,0,0,0,0,0,0
000920,沃顿科技,SZ,A 股,0,0,0,0,0,0,0
000921,海信家电,SZ,A 股,0,0,0,0,0,0,0
000922,佳电股份,SZ,A 股,0,0,0,0,0,0,0
000923,河钢资源,SZ,A 股,0,0,0,0,0,0,0
000925,众合科技,SZ,A 股,0,0,0,0,0,0,0
000926,福星股份,SZ,A 股,0,0,0,0,0,0,0
000927,中国铁物,SZ,A 股,0,0,0,0,0,0,0
000928,中钢国际,SZ,A 股,0,0,0,0,0,0,0
000929,*ST兰黄,SZ,A 股,0,0,0,0,0,0,0
000930,中粮科技,SZ,A 股,0,0,0,0,0,0,0
000931,中 关 村,SZ,A 股,0,0,0,0,0,0,0
000932,华菱钢铁,SZ,A 股,0,0,0,0,0,0,0
000933,神火股份,SZ,A 股,0,0,0,0,0,0,0
000935,四川双马,SZ,A 股,0,0,0,0,0,0,0
000936,华西股份,SZ,A 股,0,0,0,0,0,0,0
000937,冀中能源,SZ,A 股,0,0,0,0,0,0,0
000938,紫光股份,SZ,A 股,0,0,0,0,0,0,0
000948,南天信息,SZ,A 股,0,0,0,0,0,0,0
000949,新乡化纤,SZ,A 股,0,0,0,0,0,0,0
000950,重药控股,SZ,A 股,0,0,0,0,0,0,0
000951,中国重汽,SZ,A 股,0,0,0,0,0,0,0
000952,广济药业,SZ,A 股,0,0,0,0,0,0,0
000953,河化股份,SZ,A 股,0,0,0,0,0,0,0
000955,欣龙控股,SZ,A 股,0,0,0,0,0,0,0
000957,中通客车,SZ,A 股,0,0,0,0,0,0,0
000958,电投产融,SZ,A 股,0,0,0,0,0,0,0
000959,首钢股份,SZ,A 股,0,0,0,0,0,0,0
000960,锡业股份,SZ,A 股,0,0,0,0,0,0,0
000962,东方钽业,SZ,A 股,0,0,0,0,0,0,0
000963,华东医药,SZ,A 股,0,0,0,0,0,0,0
000965,天保基建,SZ,A 股,0,0,0,0,0,0,0
000966,长源电力,SZ,A 股,0,0,0,0,0,0,0
000967,盈峰环境,SZ,A 股,0,0,0,0,0,0,0
000968,蓝焰控股,SZ,A 股,0,0,0,0,0,0,0
000969,安泰科技,SZ,A 股,0,0,0,0,0,0,0
000970,中科三环,SZ,A 股,0,0,0,0,0,0,0
000972,*ST中基,SZ,A 股,0,0,0,0,0,0,0
000973,佛塑科技,SZ,A 股,0,0,0,0,0,0,0
000975,山金国际,SZ,A 股,0,0,0,0,0,0,0
000977,浪潮信息,SZ,A 股,0,0,0,0,0,0,0
000978,桂林旅游,SZ,A 股,0,0,0,0,0,0,0
000980,众泰汽车,SZ,A 股,0,0,0,0,0,0,0
000981,山子高科,SZ,A 股,0,0,0,0,0,0,0
000983,山西焦煤,SZ,A 股,0,0,0,0,0,0,0
000985,大庆华科,SZ,A 股,0,0,0,0,0,0,0
000987,越秀资本,SZ,A 股,0,0,0,0,0,0,0
000988,华工科技,SZ,A 股,0,0,0,0,0,0,0
000989,九芝堂,SZ,A 股,0,0,0,0,0,0,0
000990,诚志股份,SZ,A 股,0,0,0,0,0,0,0
000993,闽东电力,SZ,A 股,0,0,0,0,0,0,0
000995,皇台酒业,SZ,A 股,0,0,0,0,0,0,0
000997,新 大 陆,SZ,A 股,0,0,0,0,0,0,0
000998,隆平高科,SZ,A 股,0,0,0,0,0,0,0
000999,华润三九,SZ,A 股,0,0,0,0,0,0,0
001201,东瑞股份,SZ,A 股,0,0,0,0,0,0,0
001202,炬申股份,SZ,A 股,0,0,0,0,0,0,0
001203,大中矿业,SZ,A 股,0,0,0,0,0,0,0
001205,盛航股份,SZ,A 股,0,0,0,0,0,0,0
001206,依依股份,SZ,A 股,0,0,0,0,0,0,0
001207,联科科技,SZ,A 股,0,0,0,0,0,0,0
001208,华菱线缆,SZ,A 股,0,0,0,0,0,0,0
001209,洪兴股份,SZ,A 股,0,0,0,0,0,0,0
001210,金房能源,SZ,A 股,0,0,0,0,0,0,0
001211,双枪科技,SZ,A 股,0,0,0,0,0,0,0
001212,中旗新材,SZ,A 股,0,0,0,0,0,0,0
001213,中铁特货,SZ,A 股,0,0,0,0,0,0,0
001215,千味央厨,SZ,A 股,0,0,0,0,0,0,0
001216,华瓷股份,SZ,A 股,0,0,0,0,0,0,0
001217,华尔泰,SZ,A 股,0,0,0,0,0,0,0
001218,丽臣实业,SZ,A 股,0,0,0,0,0,0,0
001219,青岛食品,SZ,A 股,0,0,0,0,0,0,0
001220,世盟股份,SZ,A 股,0,0,0,0,0,0,0
001221,悍高集团,SZ,A 股,0,0,0,0,0,0,0
001222,源飞宠物,SZ,A 股,0,0,0,0,0,0,0
001223,欧克科技,SZ,A 股,0,0,0,0,0,0,0
001225,和泰机电,SZ,A 股,0,0,0,0,0,0,0
001226,拓山重工,SZ,A 股,0,0,0,0,0,0,0
001227,兰州银行,SZ,A 股,0,0,0,0,0,0,0
001228,永泰运,SZ,A 股,0,0,0,0,0,0,0
001229,魅视科技,SZ,A 股,0,0,0,0,0,0,0
001230,劲旅环境,SZ,A 股,0,0,0,0,0,0,0
